,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
306,"Napier, Shabazz",2014,Y,203894,shabazz_napier,1,ORL,Orlando,magic,1610612753,Magic,2015
307,"Neal, Gary",2010,Y,202390,gary_neal,1,WAS,Washington,wizards,1610612764,Wizards,2015
308,"Nelson, Jameer",2004,Y,2749,jameer_nelson,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
309,"Neto, Raul",2015,Y,203526,raulzinho_neto,1,UTA,Utah,jazz,1610612762,Jazz,2015
310,"Nicholson, Andrew",2012,Y,203094,andrew_nicholson,1,ORL,Orlando,magic,1610612753,Magic,2015
311,"Noah, Joakim",2007,Y,201149,joakim_noah,1,CHI,Chicago,bulls,1610612741,Bulls,2015
312,"Noel, Nerlens",2013,Y,203457,nerlens_noel,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
313,"Nogueira, Lucas",2014,Y,203512,lucas_nogueira,1,TOR,Toronto,raptors,1610612761,Raptors,2015
314,"Novak, Steve",2006,Y,200779,steve_novak,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
315,"Nowitzki, Dirk",1998,Y,1717,dirk_nowitzki,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
316,"Nurkic, Jusuf",2014,Y,203994,jusuf_nurkic,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
317,"O'Bryant, Johnny",2014,Y,203948,johnny_obryant,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
318,"O'Quinn, Kyle",2012,Y,203124,kyle_oquinn,1,NYK,New York,knicks,1610612752,Knicks,2015
319,"Okafor, Jahlil",2015,Y,1626143,jahlil_okafor,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
320,"Oladipo, Victor",2013,Y,203506,victor_oladipo,1,ORL,Orlando,magic,1610612753,Magic,2015
321,"Olynyk, Kelly",2013,Y,203482,kelly_olynyk,1,BOS,Boston,celtics,1610612738,Celtics,2015
322,"Oubre, Kelly",2015,Y,1626162,kelly_oubre,1,WAS,Washington,wizards,1610612764,Wizards,2015
323,"Pachulia, Zaza",2003,Y,2585,zaza_pachulia,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
324,"Papanikolaou, Kostas",2014,Y,203123,kostas_papanikolaou,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
325,"Parker, Jabari",2014,Y,203953,jabari_parker,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
326,"Parker, Tony",2001,Y,2225,tony_parker,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
327,"Parsons, Chandler",2011,Y,202718,chandler_parsons,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
328,"Patterson, Lamar",2015,Y,203934,lamar_patterson,1,ATL,Atlanta,hawks,1610612737,Hawks,2015
329,"Patterson, Patrick",2010,Y,202335,patrick_patterson,1,TOR,Toronto,raptors,1610612761,Raptors,2015
